queue,priority,tags,subject,body
Customer Service,medium,"General Inquiry, Product Support, Sales Inquiry, Technical Guidance",Request for specifications and customization options of MacBook Air M1,"Dear support team of the Tech Online Store, I am interested in buying a MacBook Air M1 and would like to have detailed specifications as well as information on the available customization options. Could you please provide me with this information? Thank you for your support. Sincerely, <name>"
Product Support,high,"Service Disruption, Software Bug, System Crash, Technical Support",Frequent disconnections and plantings,The client reports frequent disconnections and plantings during video meetings using Zoom 5.11.0. Please investigate. Thank you.
Product Support,medium,"General Inquiry, Problem Resolution, Product Support, Technical Support",Support required for the Scrum table configuration,"Dear customer support, Our customer, <name>, needs help in setting up a Scrum table in Jira Software 8.20 for a new project. Having support for initial configuration and best practices would be greatly appreciated. Thank you for your quick support."
Product Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Problem with Dell Trackpad XPS 13 9310 that doesn't respond,"Dear Customer Support from Tech Online Store, I am contacting you to report a problem with my Dell XPS 13 9310. The trackpad is unanswered and often has delays whenever the laptop is disconnected from the power source. I would appreciate any assistance or guidance to resolve this problem as quickly as possible. Thank you."
Product Support,high,"Network Issue, Service Disruption, Software Bug, Technical Support",Frequent Disconnections and Crashes,Customer reports frequent disconnections and crashes during video meetings using Zoom 5.11.0. Please investigate. Thank you.
Billing and Payments,low,"Billing Issue, Payment Processing, Software Bug, Urgent Issue",Payment cannot be processed,Transaction error message for Adobe Photoshop 2024
Technical Support,high,"IT Support, Service Disruption, Technical Support, Urgent Issue",Urgent: Immediate Assistance Required for Server Downtime Issue,"Dear IT Services Customer Support, 

Our server, which affects our ticket system, experienced unexpected downtime today. This issue is crucial since it affects our IT Consulting Service operations. We urgently need technical support to resolve the problem and restore normal functionality.

Please prioritize this request and provide immediate assistance.

Thank you, 

<name>"
Product Support,high,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Problem with Touch-Sensible Surface Screen Pro 7,"Dear customer support, I am facing sensitivity issues with the touch-sensitive screen of my Microsoft Surface Pro 7, making it difficult to use the device properly. Can you help me with a solution? Thank you, <name>"
Technical Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Monitor Issue,"Hello Support Team, my Dell XPS 13 9310 is not recognizing an external monitor. I have attempted troubleshooting the graphics drivers, but the issue persists. Please advise on further steps to resolve this problem. Thank you, <name>"
Product Support,low,"Customer Service, General Inquiry, Product Support, Technical Guidance",Compatibility Query,"Dear Customer Support, I recently purchased a MacBook Air M1 from your store. I need to know if this model is compatible with my external wireless monitor configuration. Please provide the necessary information as soon as possible. Thank you, <name>"
Technical Support,medium,"Hardware Failure, Product Support, Software Bug, Technical Support",Problem with the Dell XPS 13 9310 screen flicker,"Dear Customer of the Tech Online Store, I have intermittent screen flickering at my Dell XPS 13 9310. This problem causes considerable inconvenience at work. Your quick support for solving this issue would be very welcome. Thank you. Sincerely, <name>"
IT Support,high,"Hardware Failure, Problem Resolution, System Maintenance, Technical Support",Urgent: Hardware error on Dell XPS 13 9310,"Dear IT Services, our Dell XPS 13 9310 has occasional screen flickering and intermittent wireless connectivity issues. Please advise us on the next steps to solve these problems. Sincerely, <name>, <company name>, <email_address>, <phone_number>. Thank you."
Technical Support,medium,"Hardware Failure, IT Support, Problem Resolution, Technical Support",Support required for a screen flashing problem,"Dear Computer Support Service, I encounter an unexplained screen blinking problem on my Dell XPS 13 9310. Could you please provide assistance in troubleshooting this problem? Your help in solving this case as soon as possible would be greatly appreciated. Thank you, <name>"
